Input,Input Type,MGI Gene/Marker ID,Symbol,Name,Feature Type
P2RY10,chimpanzee symbol,MGI:2441814,A630033H20Rik,RIKEN cDNA A630033H20 gene,protein coding gene
ABCA1,current symbol,MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",protein coding gene
ABCA12,current symbol,MGI:2676312,Abca12,"ATP-binding cassette, sub-family A (ABC1), member 12",protein coding gene
ABCA13,current symbol,MGI:2388707,Abca13,"ATP-binding cassette, sub-family A (ABC1), member 13",protein coding gene
ABCA2,current symbol,MGI:99606,Abca2,"ATP-binding cassette, sub-family A (ABC1), member 2",protein coding gene
ABCA3,current symbol,MGI:1351617,Abca3,"ATP-binding cassette, sub-family A (ABC1), member 3",protein coding gene
ABCA4,current symbol,MGI:109424,Abca4,"ATP-binding cassette, sub-family A (ABC1), member 4",protein coding gene
ABCA5,current symbol,MGI:2386607,Abca5,"ATP-binding cassette, sub-family A (ABC1), member 5",protein coding gene
ABCA6,current symbol,MGI:1923434,Abca6,"ATP-binding cassette, sub-family A (ABC1), member 6",protein coding gene
ABCA7,current symbol,MGI:1351646,Abca7,"ATP-binding cassette, sub-family A (ABC1), member 7",protein coding gene
ABCA8,human symbol,MGI:2386846,Abca8a,"ATP-binding cassette, sub-family A (ABC1), member 8a",protein coding gene
ABCA10,"frog, western clawed symbol",MGI:1351668,Abca8b,"ATP-binding cassette, sub-family A (ABC1), member 8b",protein coding gene
ABCA9,current symbol,MGI:2386796,Abca9,"ATP-binding cassette, sub-family A (ABC1), member 9",protein coding gene
ABCB11,current symbol,MGI:1351619,Abcb11,"ATP-binding cassette, sub-family B (MDR/TAP), member 11",protein coding gene
ABCB1,rat synonym,MGI:97570,Abcb1a,"ATP-binding cassette, sub-family B (MDR/TAP), member 1A",protein coding gene
ABCB1,old symbol,MGI:97568,Abcb1b,"ATP-binding cassette, sub-family B (MDR/TAP), member 1B",protein coding gene
ABCB1,chicken symbol,MGI:97569,Abcb4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4",protein coding gene
ABCC1,current symbol,MGI:102676,Abcc1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",protein coding gene
ABCC2,current symbol,MGI:1352447,Abcc2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2",protein coding gene
ABCC3,current symbol,MGI:1923658,Abcc3,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3",protein coding gene
ABCC4,current symbol,MGI:2443111,Abcc4,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",protein coding gene
ABCC5,current symbol,MGI:1351644,Abcc5,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",protein coding gene
ABCC6,current symbol,MGI:1351634,Abcc6,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",protein coding gene
ABCC8,current symbol,MGI:1352629,Abcc8,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",protein coding gene
ABCC9,current symbol,MGI:1352630,Abcc9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",protein coding gene
AMN,human synonym,MGI:1349215,Abcd1,"ATP-binding cassette, sub-family D (ALD), member 1",protein coding gene
ABCD2,current symbol,MGI:1349467,Abcd2,"ATP-binding cassette, sub-family D (ALD), member 2",protein coding gene
ABCG1,current symbol,MGI:107704,Abcg1,"ATP-binding cassette, sub-family G (WHITE), member 1",protein coding gene
ABCG2,current symbol,MGI:1347061,Abcg2,"ATP-binding cassette, sub-family G (WHITE), member 2",protein coding gene
ABCG4,current symbol,MGI:1890594,Abcg4,"ATP-binding cassette, sub-family G (WHITE), member 4",protein coding gene
ABCG5,current symbol,MGI:1351659,Abcg5,"ATP-binding cassette, sub-family G (WHITE), member 5",protein coding gene
ABCG8,current symbol,MGI:1914720,Abcg8,"ATP-binding cassette, sub-family G (WHITE), member 8",protein coding gene
ABHD1,current symbol,MGI:1931013,Abhd1,abhydrolase domain containing 1,protein coding gene
ABHD12,current symbol,MGI:1923442,Abhd12,abhydrolase domain containing 12,protein coding gene
ABHD13,current symbol,MGI:1916154,Abhd13,abhydrolase domain containing 13,protein coding gene
BAT5,old symbol,MGI:99476,Abhd16a,abhydrolase domain containing 16A,protein coding gene
ACBD4,current symbol,MGI:1914381,Acbd4,acyl-Coenzyme A binding domain containing 4,protein coding gene
ACBD5,current symbol,MGI:1921409,Acbd5,acyl-Coenzyme A binding domain containing 5,protein coding gene
ACE,current symbol,MGI:87874,Ace,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,protein coding gene
ACE2,current symbol,MGI:1917258,Ace2,angiotensin I converting enzyme (peptidyl-dipeptidase A) 2,protein coding gene
DARC,old symbol,MGI:1097689,Ackr1,atypical chemokine receptor 1 (Duffy blood group),protein coding gene
CCBP2,old symbol,MGI:1891697,Ackr2,atypical chemokine receptor 2,protein coding gene
CXCR7,old symbol,MGI:109562,Ackr3,atypical chemokine receptor 3,protein coding gene
CCBP2,synonym,MGI:2181676,Ackr4,atypical chemokine receptor 4,protein coding gene
ACMSD,current symbol,MGI:2386323,Acmsd,amino carboxymuconate semialdehyde decarboxylase,protein coding gene
ACP1,current symbol,MGI:87881,Acp1,"acid phosphatase 1, soluble",protein coding gene
ACPT,current symbol,MGI:3644563,Acpt,"acid phosphatase, testicular",protein coding gene
ACSL5,current symbol,MGI:1919129,Acsl5,acyl-CoA synthetase long-chain family member 5,protein coding gene
ACSL6,current symbol,MGI:894291,Acsl6,acyl-CoA synthetase long-chain family member 6,protein coding gene
ACVR1,current symbol,MGI:87911,Acvr1,"activin A receptor, type 1",protein coding gene
ACVR1B,current symbol,MGI:1338944,Acvr1b,"activin A receptor, type 1B",protein coding gene
ACVR1C,current symbol,MGI:2661081,Acvr1c,"activin A receptor, type IC",protein coding gene
ACVR2A,current symbol,MGI:102806,Acvr2a,activin receptor IIA,protein coding gene
ACVR2B,current symbol,MGI:87912,Acvr2b,activin receptor IIB,protein coding gene
ACVRL1,current symbol,MGI:1338946,Acvrl1,"activin A receptor, type II-like 1",protein coding gene
ADAM10,current symbol,MGI:109548,Adam10,a disintegrin and metallopeptidase domain 10,protein coding gene
ADAM11,current symbol,MGI:1098667,Adam11,a disintegrin and metallopeptidase domain 11,protein coding gene
ADAM12,current symbol,MGI:105378,Adam12,a disintegrin and metallopeptidase domain 12 (meltrin alpha),protein coding gene
ADAM15,current symbol,MGI:1333882,Adam15,a disintegrin and metallopeptidase domain 15 (metargidin),protein coding gene
ADAM17,current symbol,MGI:1096335,Adam17,a disintegrin and metallopeptidase domain 17,protein coding gene
ADAM18,current symbol,MGI:105986,Adam18,a disintegrin and metallopeptidase domain 18,protein coding gene
ADAM19,current symbol,MGI:105377,Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),protein coding gene
ADAM2,current symbol,MGI:1340894,Adam2,a disintegrin and metallopeptidase domain 2,protein coding gene
ADAM20,current symbol,MGI:2152342,Adam20,a disintegrin and metallopeptidase domain 20,protein coding gene
ADAM21,current symbol,MGI:1861229,Adam21,a disintegrin and metallopeptidase domain 21,protein coding gene
ADAM22,current symbol,MGI:1340046,Adam22,a disintegrin and metallopeptidase domain 22,protein coding gene
ADAM23,current symbol,MGI:1345162,Adam23,a disintegrin and metallopeptidase domain 23,protein coding gene
ADAM20,human symbol,MGI:1345157,Adam25,a disintegrin and metallopeptidase domain 25 (testase 2),protein coding gene
ADAM28,current symbol,MGI:105988,Adam28,a disintegrin and metallopeptidase domain 28,protein coding gene
ADAM29,current symbol,MGI:2676326,Adam29,a disintegrin and metallopeptidase domain 29,protein coding gene
ADAM30,current symbol,MGI:1918328,Adam30,a disintegrin and metallopeptidase domain 30,protein coding gene
ADAM32,current symbol,MGI:2653822,Adam32,a disintegrin and metallopeptidase domain 32,protein coding gene
ADAM20,human symbol,MGI:3045694,Adam39,a disintegrin and metallopeptidase domain 39,protein coding gene
ADAM7,current symbol,MGI:107247,Adam7,a disintegrin and metallopeptidase domain 7,protein coding gene
ADAM8,current symbol,MGI:107825,Adam8,a disintegrin and metallopeptidase domain 8,protein coding gene
ADAM9,current symbol,MGI:105376,Adam9,a disintegrin and metallopeptidase domain 9 (meltrin gamma),protein coding gene
SCAMP4,"macaque, rhesus symbol",MGI:1924344,Adat3,"adenosine deaminase, tRNA-specific 3",protein coding gene
ADCY1,current symbol,MGI:99677,Adcy1,adenylate cyclase 1,protein coding gene
SAC,synonym,MGI:2660854,Adcy10,adenylate cyclase 10,protein coding gene
ADCY2,current symbol,MGI:99676,Adcy2,adenylate cyclase 2,protein coding gene
ADCY3,current symbol,MGI:99675,Adcy3,adenylate cyclase 3,protein coding gene
ADCY4,current symbol,MGI:99674,Adcy4,adenylate cyclase 4,protein coding gene
ADCY5,current symbol,MGI:99673,Adcy5,adenylate cyclase 5,protein coding gene
ADCY6,current symbol,MGI:87917,Adcy6,adenylate cyclase 6,protein coding gene
ADCY7,current symbol,MGI:102891,Adcy7,adenylate cyclase 7,protein coding gene
ADCY3,human synonym,MGI:1341110,Adcy8,adenylate cyclase 8,protein coding gene
ADCY9,current symbol,MGI:108450,Adcy9,adenylate cyclase 9,protein coding gene
ADCYAP1R1,current symbol,MGI:108449,Adcyap1r1,adenylate cyclase activating polypeptide 1 receptor 1,protein coding gene
GPR123,old symbol,MGI:1277167,Adgra1,adhesion G protein-coupled receptor A1,protein coding gene
GPR124,old symbol,MGI:1925810,Adgra2,adhesion G protein-coupled receptor A2,protein coding gene
GPR125,old symbol,MGI:1917943,Adgra3,adhesion G protein-coupled receptor A3,protein coding gene
BAI1,old symbol,MGI:1933736,Adgrb1,adhesion G protein-coupled receptor B1,protein coding gene
BAI2,old symbol,MGI:2451244,Adgrb2,adhesion G protein-coupled receptor B2,protein coding gene
BAI3,old symbol,MGI:2441837,Adgrb3,adhesion G protein-coupled receptor B3,protein coding gene
GPR133,old symbol,MGI:3041203,Adgrd1,adhesion G protein-coupled receptor D1,protein coding gene
GPR144,old symbol,MGI:2685845,Adgrd2-ps,"adhesion G protein-coupled receptor D2, pseudogene",pseudogene
EMR1,old symbol,MGI:106912,Adgre1,adhesion G protein-coupled receptor E1,protein coding gene
CD97,old symbol,MGI:1347095,Adgre5,adhesion G protein-coupled receptor E5,protein coding gene
GPR110,old symbol,MGI:1924846,Adgrf1,adhesion G protein-coupled receptor F1,protein coding gene
GPR111,old symbol,MGI:2182728,Adgrf2,adhesion G protein-coupled receptor F2,protein coding gene
GPR113,old symbol,MGI:2685887,Adgrf3,adhesion G protein-coupled receptor F3,protein coding gene
GPR115,old symbol,MGI:1925499,Adgrf4,adhesion G protein-coupled receptor F4,protein coding gene
GPR116,old symbol,MGI:2182928,Adgrf5,adhesion G protein-coupled receptor F5,protein coding gene
GPR56,old symbol,MGI:1340051,Adgrg1,adhesion G protein-coupled receptor G1,protein coding gene
GPR64,old symbol,MGI:2446854,Adgrg2,adhesion G protein-coupled receptor G2,protein coding gene
GPR97,old symbol,MGI:1859670,Adgrg3,adhesion G protein-coupled receptor G3,protein coding gene
GPR112,old symbol,MGI:2685213,Adgrg4,adhesion G protein-coupled receptor G4,protein coding gene
GPR114,old symbol,MGI:2685955,Adgrg5,adhesion G protein-coupled receptor G5,protein coding gene
GPR126,old symbol,MGI:1916151,Adgrg6,adhesion G protein-coupled receptor G6,protein coding gene
GPR128,old symbol,MGI:2441732,Adgrg7,adhesion G protein-coupled receptor G7,protein coding gene
LPHN1,old symbol,MGI:1929461,Adgrl1,adhesion G protein-coupled receptor L1,protein coding gene
LPHN2,old symbol,MGI:2139714,Adgrl2,adhesion G protein-coupled receptor L2,protein coding gene
LPHN3,old symbol,MGI:2441950,Adgrl3,adhesion G protein-coupled receptor L3,protein coding gene
GPR98,old symbol,MGI:1274784,Adgrv1,adhesion G protein-coupled receptor V1,protein coding gene
ADIPOR1,current symbol,MGI:1919924,Adipor1,adiponectin receptor 1,protein coding gene
ADIPOR2,current symbol,MGI:93830,Adipor2,adiponectin receptor 2,protein coding gene
ADORA1,current symbol,MGI:99401,Adora1,adenosine A1 receptor,protein coding gene
ADORA2A,current symbol,MGI:99402,Adora2a,adenosine A2a receptor,protein coding gene
ADORA2B,current symbol,MGI:99403,Adora2b,adenosine A2b receptor,protein coding gene
ADORA3,current symbol,MGI:104847,Adora3,adenosine A3 receptor,protein coding gene
ADRA1A,current symbol,MGI:104773,Adra1a,"adrenergic receptor, alpha 1a",protein coding gene
ADRA1B,current symbol,MGI:104774,Adra1b,"adrenergic receptor, alpha 1b",protein coding gene
ADRA1A,synonym,MGI:106673,Adra1d,"adrenergic receptor, alpha 1d",protein coding gene
ADRA2A,current symbol,MGI:87934,Adra2a,"adrenergic receptor, alpha 2a",protein coding gene
ADRA2B,current symbol,MGI:87935,Adra2b,"adrenergic receptor, alpha 2b",protein coding gene
ADRA2C,current symbol,MGI:87936,Adra2c,"adrenergic receptor, alpha 2c",protein coding gene
ADRB1,current symbol,MGI:87937,Adrb1,"adrenergic receptor, beta 1",protein coding gene
ADRB2,current symbol,MGI:87938,Adrb2,"adrenergic receptor, beta 2",protein coding gene
ADRB1,"frog, western clawed symbol",MGI:87939,Adrb3,"adrenergic receptor, beta 3",protein coding gene
C6orf105,human synonym,MGI:1924596,Adtrp,androgen dependent TFPI regulating protein,protein coding gene
KIAA1024,human symbol,MGI:2667167,AF529169,cDNA sequence AF529169,protein coding gene
AGER,current symbol,MGI:893592,Ager,advanced glycosylation end product-specific receptor,protein coding gene
TMEM195,old symbol,MGI:2442495,Agmo,alkylglycerol monooxygenase,protein coding gene
AGPAT2,zebrafish symbol,MGI:1932075,Agpat1,"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)",protein coding gene
AGPAT2,current symbol,MGI:1914762,Agpat2,"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)",protein coding gene
AGPAT3,current symbol,MGI:1336186,Agpat3,1-acylglycerol-3-phosphate O-acyltransferase 3,protein coding gene
AGPAT4,current symbol,MGI:1915512,Agpat4,"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)",protein coding gene
AGPAT5,current symbol,MGI:1196345,Agpat5,"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)",protein coding gene
AGPAT9,current symbol,MGI:3603816,Agpat9,1-acylglycerol-3-phosphate O-acyltransferase 9,protein coding gene
AGTR1,rat synonym,MGI:87964,Agtr1a,"angiotensin II receptor, type 1a",protein coding gene
AGTR1,rat synonym,MGI:87965,Agtr1b,"angiotensin II receptor, type 1b",protein coding gene
AGTR2,current symbol,MGI:87966,Agtr2,"angiotensin II receptor, type 2",protein coding gene
AGTRAP,current symbol,MGI:1339977,Agtrap,"angiotensin II, type I receptor-associated protein",protein coding gene
KIAA1161,human symbol,MGI:2140300,AI464131,expressed sequence AI464131,protein coding gene
C16orf54,human symbol,MGI:2141979,AI467606,expressed sequence AI467606,protein coding gene
C11orf87,human symbol,MGI:2143099,AI593442,expressed sequence AI593442,protein coding gene
AIG1,current symbol,MGI:1913503,Aig1,androgen-induced 1,protein coding gene
AJAP1,current symbol,MGI:2685419,Ajap1,adherens junction associated protein 1,protein coding gene
ALCAM,current symbol,MGI:1313266,Alcam,activated leukocyte cell adhesion molecule,protein coding gene
ALG10,human synonym,MGI:2146159,Alg10b,"asparagine-linked glycosylation 10B (alpha-1,2-glucosyltransferase)",protein coding gene
ALG11,current symbol,MGI:2142632,Alg11,"asparagine-linked glycosylation 11 (alpha-1,2-mannosyltransferase)",protein coding gene
ALKBH5,current symbol,MGI:2144489,Alkbh5,"alkB homolog 5, RNA demethylase",protein coding gene
ALOX5AP,current symbol,MGI:107505,Alox5ap,arachidonate 5-lipoxygenase activating protein,protein coding gene
AMFR,current symbol,MGI:1345634,Amfr,autocrine motility factor receptor,protein coding gene
AMIGO1,current symbol,MGI:2653612,Amigo1,adhesion molecule with Ig like domain 1,protein coding gene
AMIGO2,current symbol,MGI:2145995,Amigo2,adhesion molecule with Ig like domain 2,protein coding gene
AMIGO3,current symbol,MGI:2444854,Amigo3,adhesion molecule with Ig like domain 3,protein coding gene
AMN,current symbol,MGI:1934943,Amn,amnionless,protein coding gene
ANKH,human symbol,MGI:3045421,Ank,progressive ankylosis,protein coding gene
ANKRD22,current symbol,MGI:1277101,Ankrd22,ankyrin repeat domain 22,protein coding gene
ANKRD46,current symbol,MGI:1916089,Ankrd46,ankyrin repeat domain 46,protein coding gene
ANO1,current symbol,MGI:2142149,Ano1,"anoctamin 1, calcium activated chloride channel",protein coding gene
ANO10,current symbol,MGI:2143103,Ano10,anoctamin 10,protein coding gene
ANO2,current symbol,MGI:2387214,Ano2,anoctamin 2,protein coding gene
ANO3,current symbol,MGI:3613666,Ano3,anoctamin 3,protein coding gene
ANO4,current symbol,MGI:2443344,Ano4,anoctamin 4,protein coding gene
ANO5,current symbol,MGI:3576659,Ano5,anoctamin 5,protein coding gene
ANO6,current symbol,MGI:2145890,Ano6,anoctamin 6,protein coding gene
ANO7,current symbol,MGI:3052714,Ano7,anoctamin 7,protein coding gene
ANO8,current symbol,MGI:2687327,Ano8,anoctamin 8,protein coding gene
ANO9,current symbol,MGI:1918595,Ano9,anoctamin 9,protein coding gene
ANTXR1,current symbol,MGI:1916788,Antxr1,anthrax toxin receptor 1,protein coding gene
ANTXR2,current symbol,MGI:1919164,Antxr2,anthrax toxin receptor 2,protein coding gene
APCDD1,current symbol,MGI:3513977,Apcdd1,adenomatosis polyposis coli down-regulated 1,protein coding gene
APH1B,zebrafish symbol,MGI:2385110,Aph1a,"aph1 homolog A, gamma secretase subunit",protein coding gene
APH1B,current symbol,MGI:3522097,Aph1b,"aph1 homolog B, gamma secretase subunit",protein coding gene
APH1B,rat symbol,MGI:1915568,Aph1c,"aph1 homolog C, gamma secretase subunit",protein coding gene
APLNR,current symbol,MGI:1346086,Aplnr,apelin receptor,protein coding gene
APLP1,current symbol,MGI:88046,Aplp1,amyloid beta (A4) precursor-like protein 1,protein coding gene
C20orf3,human synonym,MGI:1919131,Apmap,adipocyte plasma membrane associated protein,protein coding gene
APOL6,current symbol,MGI:1919189,Apol6,apolipoprotein L 6,protein coding gene
APOL2,old symbol,MGI:2444921,Apol8,apolipoprotein L 8,protein coding gene
APOLD1,current symbol,MGI:2685921,Apold1,apolipoprotein L domain containing 1,protein coding gene
APP,current symbol,MGI:88059,App,amyloid beta (A4) precursor protein,protein coding gene
AQP1,current symbol,MGI:103201,Aqp1,aquaporin 1,protein coding gene
AQP11,current symbol,MGI:1913583,Aqp11,aquaporin 11,protein coding gene
AQP2,current symbol,MGI:1096865,Aqp2,aquaporin 2,protein coding gene
AQP3,current symbol,MGI:1333777,Aqp3,aquaporin 3,protein coding gene
AQP4,current symbol,MGI:107387,Aqp4,aquaporin 4,protein coding gene
AQP5,current symbol,MGI:106215,Aqp5,aquaporin 5,protein coding gene
AQP6,current symbol,MGI:1341204,Aqp6,aquaporin 6,protein coding gene
AQP7,current symbol,MGI:1314647,Aqp7,aquaporin 7,protein coding gene
AQP8,current symbol,MGI:1195271,Aqp8,aquaporin 8,protein coding gene
AQP9,current symbol,MGI:1891066,Aqp9,aquaporin 9,protein coding gene
AREG,current symbol,MGI:88068,Areg,amphiregulin,protein coding gene
ARL6IP6,current symbol,MGI:1929507,Arl6ip6,ADP-ribosylation factor-like 6 interacting protein 6,protein coding gene
ART3,current symbol,MGI:1202729,Art3,ADP-ribosyltransferase 3,protein coding gene
ARV1,current symbol,MGI:1916115,Arv1,"ARV1 homolog, fatty acid homeostasis modulator",protein coding gene
ASGR1,current symbol,MGI:88081,Asgr1,asialoglycoprotein receptor 1,protein coding gene
ASGR2,current symbol,MGI:88082,Asgr2,asialoglycoprotein receptor 2,protein coding gene
ACCN5,old symbol,MGI:1929259,Asic5,acid-sensing (proton-gated) ion channel family member 5,protein coding gene
ASTN1,current symbol,MGI:1098567,Astn1,astrotactin 1,protein coding gene
ASTN2,current symbol,MGI:1889277,Astn2,astrotactin 2,protein coding gene
FRAG1,human synonym,MGI:2442925,Atad5,"ATPase family, AAA domain containing 5",protein coding gene
ATCAY,current symbol,MGI:2448730,Atcay,"ataxia, cerebellar, Cayman type",protein coding gene
ATG9A,current symbol,MGI:2138446,Atg9a,autophagy related 9A,protein coding gene
ATG9B,current symbol,MGI:2685420,Atg9b,autophagy related 9B,protein coding gene
ATL2,current symbol,MGI:1929492,Atl2,atlastin GTPase 2,protein coding gene
ATL3,current symbol,MGI:1924270,Atl3,atlastin GTPase 3,protein coding gene
ATP10A,current symbol,MGI:1330809,Atp10a,"ATPase, class V, type 10A",protein coding gene
ATP10D,current symbol,MGI:2450125,Atp10d,"ATPase, class V, type 10D",polymorphic pseudogene
ATP11A,current symbol,MGI:1354735,Atp11a,"ATPase, class VI, type 11A",protein coding gene
ATP11C,current symbol,MGI:1859661,Atp11c,"ATPase, class VI, type 11C",protein coding gene
ATP12A,current symbol,MGI:1926943,Atp12a,"ATPase, H+/K+ transporting, nongastric, alpha polypeptide",protein coding gene
ATP13A1,current symbol,MGI:2180801,Atp13a1,ATPase type 13A1,protein coding gene
ATP13A2,current symbol,MGI:1922022,Atp13a2,ATPase type 13A2,protein coding gene
ATP13A4,current symbol,MGI:1924456,Atp13a4,ATPase type 13A4,protein coding gene
ATP13A5,current symbol,MGI:2444068,Atp13a5,ATPase type 13A5,protein coding gene
ATP1A1,current symbol,MGI:88105,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",protein coding gene
ATP1A2,current symbol,MGI:88106,Atp1a2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",protein coding gene
ATP1A1,human synonym,MGI:88107,Atp1a3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",protein coding gene
ATP1A1,human synonym,MGI:1351335,Atp1a4,"ATPase, Na+/K+ transporting, alpha 4 polypeptide",protein coding gene
ATP1B1,current symbol,MGI:88108,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide",protein coding gene
ATP1B2,current symbol,MGI:88109,Atp1b2,"ATPase, Na+/K+ transporting, beta 2 polypeptide",protein coding gene
ATP1B3,current symbol,MGI:107788,Atp1b3,"ATPase, Na+/K+ transporting, beta 3 polypeptide",protein coding gene
ATP1B4,current symbol,MGI:1915071,Atp1b4,"ATPase, (Na+)/K+ transporting, beta 4 polypeptide",protein coding gene
ATP2A2,current symbol,MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",protein coding gene
ATP2A3,current symbol,MGI:1194503,Atp2a3,"ATPase, Ca++ transporting, ubiquitous",protein coding gene
ATP2B1,current symbol,MGI:104653,Atp2b1,"ATPase, Ca++ transporting, plasma membrane 1",protein coding gene
ATP2B2,current symbol,MGI:105368,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",protein coding gene
ATP2B3,current symbol,MGI:1347353,Atp2b3,"ATPase, Ca++ transporting, plasma membrane 3",protein coding gene
ATP2B2,human synonym,MGI:88111,Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4",protein coding gene
ATP2C1,current symbol,MGI:1889008,Atp2c1,"ATPase, Ca++-sequestering",protein coding gene
ATP2C2,current symbol,MGI:1916297,Atp2c2,"ATPase, Ca++ transporting, type 2C, member 2",protein coding gene
ATP4A,current symbol,MGI:88113,Atp4a,"ATPase, H+/K+ exchanging, gastric, alpha polypeptide",protein coding gene
ATP4B,current symbol,MGI:88114,Atp4b,"ATPase, H+/K+ exchanging, beta polypeptide",protein coding gene
ATP6AP1,current symbol,MGI:109629,Atp6ap1,"ATPase, H+ transporting, lysosomal accessory protein 1",protein coding gene
ATP6AP2,current symbol,MGI:1917745,Atp6ap2,"ATPase, H+ transporting, lysosomal accessory protein 2",protein coding gene
ATP6V0A1,current symbol,MGI:103286,Atp6v0a1,"ATPase, H+ transporting, lysosomal V0 subunit A1",protein coding gene
ATP6V0A2,current symbol,MGI:104855,Atp6v0a2,"ATPase, H+ transporting, lysosomal V0 subunit A2",protein coding gene
ATP6V0A4,current symbol,MGI:2153480,Atp6v0a4,"ATPase, H+ transporting, lysosomal V0 subunit A4",protein coding gene
ATP6V0B,current symbol,MGI:1890510,Atp6v0b,"ATPase, H+ transporting, lysosomal V0 subunit B",protein coding gene
ATP6V0C,current symbol,MGI:88116,Atp6v0c,"ATPase, H+ transporting, lysosomal V0 subunit C",protein coding gene
ATP6V0E1,human symbol,MGI:1328318,Atp6v0e,"ATPase, H+ transporting, lysosomal V0 subunit E",protein coding gene
ATP6V0E2,current symbol,MGI:1923502,Atp6v0e2,"ATPase, H+ transporting, lysosomal V0 subunit E2",protein coding gene
ATP7A,current symbol,MGI:99400,Atp7a,"ATPase, Cu++ transporting, alpha polypeptide",protein coding gene
ATP7A,old symbol,MGI:103297,Atp7b,"ATPase, Cu++ transporting, beta polypeptide",protein coding gene
ATP8A1,current symbol,MGI:1330848,Atp8a1,"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1",protein coding gene
ATP8A2,current symbol,MGI:1354710,Atp8a2,"ATPase, aminophospholipid transporter-like, class I, type 8A, member 2",protein coding gene
ATP8B1,current symbol,MGI:1859665,Atp8b1,"ATPase, class I, type 8B, member 1",protein coding gene
ATP8B2,current symbol,MGI:1859660,Atp8b2,"ATPase, class I, type 8B, member 2",protein coding gene
ATP8B3,current symbol,MGI:1914581,Atp8b3,"ATPase, class I, type 8B, member 3",protein coding gene
ATP8B4,current symbol,MGI:1859664,Atp8b4,"ATPase, class I, type 8B, member 4",protein coding gene
ATP8B4,chicken symbol,MGI:2444287,Atp8b5,"ATPase, class I, type 8B, member 5",protein coding gene
